img,x,y,z,dis
33,-0.4851,-6.9852,-1.5684,7.0020240680820285
87,6.819,1.5903,-3.6706,7.0019865102697825
26,-4.0302,5.7258,-2.8788,7.001949562800348
26,2.0013,-6.7098,-4.7749,7.001901008297676
28,6.9954,0.3007,1.5307,7.001859870777192
55,-6.8666,1.3695,5.0245,7.001837316733373
3,-3.499,-6.0648,-5.2284,7.001771207344611
22,0.1158,-7.0008,1.9603,7.001757656474551
50,6.1241,-3.394,2.6146,7.001702422268459
75,-6.1809,-3.2894,-0.5637,7.0016910221745725
93,-1.2183,-6.8948,4.4271,7.00160852447493
94,-6.9879,-0.4357,-0.0483,7.001469909954623
8,1.9659,6.7198,3.1128,7.001462336540846
40,3.0221,6.3156,-4.5927,7.001420696544381
5,-5.5572,-4.2587,-1.6027,7.001356834928498
38,1.1168,-6.9117,2.1924,7.001345522826308
74,1.1793,6.9013,6.2654,7.001334885577179
21,5.209,4.6781,-4.9573,7.001307064398761
14,-6.1157,-3.4083,1.4936,7.0013066908970645
72,-6.3853,-2.8716,-3.9355,7.001295783638912
81,-2.5307,-6.5279,6.4998,7.001279947266785
9,-1.6135,6.8128,-5.3815,7.001258893227703
57,4.1588,5.6322,-2.6333,7.001235196734931
48,6.8335,1.5231,-0.4844,7.001182461556048
18,-6.0936,-3.4474,5.2932,7.001180451895237
97,-0.414,-6.9889,6.5314,7.001151277468585
13,-1.8167,-6.7613,-4.3307,7.00111252444924
86,-5.1888,4.7002,3.9105,7.001108875028297
4,-6.8655,-1.3712,-4.2475,7.001091321358406
24,0.0342,-7.001,-0.6298,7.001083533282546
81,-5.3335,4.5353,-1.5939,7.001083369022255
82,0.2741,-6.9957,3.2711,7.001067725711557
42,4.7221,-5.1688,-4.4335,7.001051481741868
93,6.442,-2.7414,0.0114,7.001045490496402
0,-4.6099,-5.2691,-5.5729,7.001042266691439
92,-6.6121,2.301,-2.5713,7.001033310162151
41,5.0879,4.8091,6.9768,7.001012013987692
14,-5.9737,-3.6509,6.0824,7.001011534057061
90,-1.0611,6.9201,6.7476,7.000979732865964
82,2.939,6.3542,-2.7581,7.000969835672769
43,-4.6189,-5.2611,-1.6978,7.000957821612697
10,-4.6848,-5.2025,1.6985,7.000954027130874
26,5.1294,-4.7647,-0.6063,7.00093639808276
67,-1.9297,-6.7297,2.1453,7.000900240683337
6,-5.2778,4.5997,5.9321,7.000886581712348
2,1.6046,6.8145,4.3863,7.00086790405304
99,4.9824,4.9181,1.7288,7.000858330947714
16,-6.9987,-0.1737,-5.347,7.00085518918939
76,2.8725,-6.3844,-1.0946,7.000844206951045
96,-5.3403,-4.5269,-3.0234,7.000830500733467
86,5.2339,-4.6495,2.2948,7.000825627024287
20,0.7492,6.9606,-1.2609,7.000803739571622
89,3.6031,6.0024,0.2938,7.000795338388346
99,-1.7396,6.7812,3.6334,7.000777213995601
78,3.3727,6.1348,-1.2633,7.000776837608809
27,-6.739,1.8965,6.1497,7.00077376080673
45,6.7494,-1.8591,-3.0721,7.00076089935944
23,-2.0913,-6.6811,-1.0659,7.000759451659513
67,-6.9985,-0.1774,2.3698,7.000748032174847
52,-5.485,4.3503,-1.4193,7.0007381817919745
35,-6.8933,-1.2217,3.8777,7.000723946850068
38,-3.364,6.1395,5.0877,7.0007111245929865
65,-6.8319,1.5281,3.7301,7.000710479658475
99,6.9059,-1.1482,-1.9527,7.000701254160186
11,6.5651,-2.4309,-4.3968,7.000700880626168
14,-3.7385,-5.9189,6.4286,7.000697069578143
38,-2.8583,6.3906,-0.9361,7.0006890553716214
27,-6.3653,2.9142,4.6716,7.000686089948613
41,4.1324,5.6509,4.7936,7.0006714370837315
90,-6.4608,2.6958,0.3675,7.000662417228815
90,-6.9149,1.0922,-1.8427,7.000624461431995
45,-5.8428,3.8562,0.4079,7.000613564538469
63,3.0968,6.2784,-4.5551,7.000605459529911
21,5.0059,4.8938,1.9574,7.000593778387659
61,6.3607,-2.924,-0.941,7.000591438585743
14,0.4261,6.9876,-1.1635,7.000579616717461
49,-6.8368,1.5054,4.0195,7.0005759334500475
96,-2.1088,6.6754,0.9964,7.000571590948842
45,1.7608,6.7755,0.8388,7.000558327019353
63,-0.0866,7.0,0.8174,7.0005356623618455
79,-0.9269,6.9389,-5.2573,7.000534038200229
50,0.4614,-6.9853,3.5717,7.0005218412629775
30,-3.8131,5.8709,-1.4713,7.000514153974692
60,-6.5117,-2.57,4.687,7.000509759296104
44,-6.984,-0.4805,-4.5032,7.000509713585147
91,4.1082,5.6683,3.0614,7.00049513463155
45,5.3531,-4.5112,1.4578,7.000471773387848
67,-6.9958,-0.2555,4.8533,7.000464119613785
1,6.1947,3.2607,6.3984,7.000462311876267
26,-6.0593,3.5059,-3.3337,7.000460791976483
20,4.058,-5.7043,-3.9388,7.00045730577653
80,-5.6499,4.1334,6.6546,7.000454668805449
91,-2.0325,-6.6989,-3.1461,7.000451232599224
29,-1.6835,6.795,-0.961,7.000442646718849
61,-0.5563,-6.9783,4.4523,7.000438599116487
85,-3.4473,-6.0928,-2.9094,7.000434924345773
65,-4.3937,-5.4499,-4.9339,7.000429251124534
80,3.9177,5.8015,-5.4064,7.000412526415854
0,5.8366,-3.8652,3.5146,7.00040503113927
74,3.1814,6.2357,-5.5682,7.000375736344442
0,-1.9592,-6.7206,2.1537,7.000352062575138
56,-3.9743,5.7628,5.9568,7.000351729020478
37,6.8068,1.6347,3.9996,7.000340729564526
92,4.2561,5.5579,3.6588,7.0003313935841645
84,0.5301,6.9802,4.0304,7.000299854291957
68,6.9658,0.6941,-1.8269,7.000296025883476
46,-5.3317,-4.5362,3.3085,7.000295374482422
4,-0.7601,6.9589,-5.2505,7.000288652619976
86,0.5568,6.9781,2.1298,7.000278983726291
78,4.581,-5.2932,-2.6732,7.0002519411804025
62,6.1646,3.3168,2.7847,7.000246809934633
35,-6.9977,-0.1888,2.0043,7.000246476374957
44,-6.6232,2.2664,-2.8199,7.000239081631427
4,-6.9406,-0.9118,4.8615,7.000236253156031
48,4.1469,-5.6397,-2.9721,7.00021397530104
